	数字1		数字2		数字3		平均值		出现概率	
	1		5		6		4.0		0.001557285873192436	
	1		5		7		4.333333333333333		0.0017797552836484984	
	1		5		8		4.666666666666667		0.002224694104560623	
	1		5		9		5.0		0.0026696329254727474	
	1		5		10		5.333333333333333		0.003114571746384872	
	1		5		11		5.666666666666667		0.003559510567296997	
	1		5		12		6.0		0.004226918798665183	
	1		5		13		6.333333333333333		0.0046718576195773085	
	1		5		14		6.666666666666667		0.005339265850945495	
	1		5		15		7.0		0.006006674082313682	
	1		5		16		7.333333333333333		0.006674082313681869	
	1		5		17		7.666666666666667		0.007341490545050055	
	1		5		18		8.0		0.008231368186874305	
	1		5		19		8.333333333333334		0.008898776418242492	
	1		5		20		8.666666666666666		0.00978865406006674	
	1		5		21		9.0		0.01067853170189099	
	1		5		22		9.333333333333334		0.011568409343715239	
	1		5		23		9.666666666666666		0.012458286985539488	
	1		5		24		10.0		0.0135706340378198	
	1		5		25		10.333333333333334		0.014460511679644048	
	1		5		26		10.666666666666666		0.01557285873192436	
	1		5		27		11.0		0.01668520578420467	
	1		5		28		11.333333333333334		0.017797552836484983	
	1		5		29		11.666666666666666		0.018687430478309234	
	1		5		30		12.0		0.019799777530589546	
	1		5		31		12.333333333333334		0.020467185761957732	
	1		6		7		4.666666666666667		0.002224694104560623	
	1		6		8		5.0		0.0026696329254727474	
	1		6		9		5.333333333333333		0.003114571746384872	
	1		6		10		5.666666666666667		0.003559510567296997	
	1		6		11		6.0		0.004226918798665183	
	1		6		12		6.333333333333333		0.0046718576195773085	
	1		6		13		6.666666666666667		0.005339265850945495	
	1		6		14		7.0		0.006006674082313682	
	1		6		15		7.333333333333333		0.006674082313681869	
	1		6		16		7.666666666666667		0.007341490545050055	
	1		6		17		8.0		0.008231368186874305	
	1		6		18		8.333333333333334		0.008898776418242492	
	1		6		19		8.666666666666666		0.00978865406006674	
	1		6		20		9.0		0.01067853170189099	
	1		6		21		9.333333333333334		0.011568409343715239	
	1		6		22		9.666666666666666		0.012458286985539488	
	1		6		23		10.0		0.0135706340378198	
	1		6		24		10.333333333333334		0.014460511679644048	
	1		6		25		10.666666666666666		0.01557285873192436	
	1		6		26		11.0		0.01668520578420467	
	1		6		27		11.333333333333334		0.017797552836484983	
	1		6		28		11.666666666666666		0.018687430478309234	
	1		6		29		12.0		0.019799777530589546	
	1		6		30		12.333333333333334		0.020467185761957732	
	1		6		31		12.666666666666666		0.02135706340378198	
	1		7		8		5.333333333333333		0.003114571746384872	
	1		7		9		5.666666666666667		0.003559510567296997	
	1		7		10		6.0		0.004226918798665183	
	1		7		11		6.333333333333333		0.0046718576195773085	
	1		7		12		6.666666666666667		0.005339265850945495	
	1		7		13		7.0		0.006006674082313682	
	1		7		14		7.333333333333333		0.006674082313681869	
	1		7		15		7.666666666666667		0.007341490545050055	
	1		7		16		8.0		0.008231368186874305	
	1		7		17		8.333333333333334		0.008898776418242492	
	1		7		18		8.666666666666666		0.00978865406006674	
	1		7		19		9.0		0.01067853170189099	
	1		7		20		9.333333333333334		0.011568409343715239	
	1		7		21		9.666666666666666		0.012458286985539488	
	1		7		22		10.0		0.0135706340378198	
	1		7		23		10.333333333333334		0.014460511679644048	
	1		7		24		10.666666666666666		0.01557285873192436	
	1		7		25		11.0		0.01668520578420467	
	1		7		26		11.333333333333334		0.017797552836484983	
	1		7		27		11.666666666666666		0.018687430478309234	
